concave,1,2,convex,4,5,linear,7,8
1,487,487,2,1873,936.5,1,1992,1992
1,477,477,1,2075,936.5,1,1879,1879
1,1457,1457,3,2164,2075,1,1806,1806
1,1493,1493,3,2272,721.3333333,1,1735,1735
4,1502,375.5,2,2489,721.3333333,1,1783,1783
5,1498,375.5,3,2470,721.3333333,2,1784,892
7,1578,375.5,2,2674,757.3333333,6,1891,892
6,1747,375.5,4,2791,757.3333333,3,2050,315.1666667
3,2112,299.6,2,3034,757.3333333,3,2390,315.1666667
6,2434,299.6,2,3004,1244.5,5,2753,315.1666667
5,2745,299.6,1,3108,1244.5,3,3088,315.1666667
4,3260,299.6,3,3133,823.3333333,5,3458,315.1666667
5,3631,299.6,1,3271,823.3333333,5,3774,315.1666667
3,4226,225.4285714,1,3269,823.3333333,4,4173,683.3333333
3,4761,225.4285714,2,3251,1337,2,4542,683.3333333
3,5070,225.4285714,3,3379,1337,1,5033,683.3333333
2,5434,225.4285714,1,3515,697.75,2,5432,796.6666667
1,5657,225.4285714,3,3750,697.75,2,5550,796.6666667
1,5969,225.4285714,1,3914,697.75,1,5567,796.6666667
2,6383,225.4285714,3,3962,697.75,3,5645,550.6
2,6757,291.1666667,3,4036,1517,2,5648,550.6
1,6822,291.1666667,3,4024,1517,4,5754,550.6
2,6889,291.1666667,5,4276,1502,5,5767,550.6
5,6953,291.1666667,5,4367,1502,4,5900,550.6
3,6981,291.1666667,2,4559,3108,3,5949,1029.333333
3,7072,291.1666667,4,4656,1044.333333,1,5938,1029.333333
4,6977,704,2,4760,1044.333333,1,5736,1029.333333
3,6885,704,4,3379,1044.333333,1,5866,691.6
4,6895,704,2,3501,3271,1,5966,691.6
3,6987,405.6666667,3,3608,3269,4,5873,691.6
3,6713,405.6666667,1,3773,1625.5,1,5632,691.6
3,6570,405.6666667,2,4062,1625.5,2,5362,691.6
3,6316,405.6666667,3,4204,1126.333333,5,5028,754.8
1,5926,405.6666667,4,4446,1126.333333,1,4794,754.8
1,5645,405.6666667,4,4751,1126.333333,2,4590,754.8
1,5220,549,2,4896,3515,3,4509,754.8
1,4112,549,4,5168,1250,3,4518,754.8
1,3721,549,2,5385,1250,6,4573,1043.25
1,413,549,1,5561,1250,4,4485,1043.25
1,627,549,2,5561,3914,3,4453,1043.25
2,717,815,2,5656,1320.666667,1,4381,1043.25
4,769,815,1,6153,1320.666667,3,4356,2271
3,809,815,2,6533,1320.666667,1,4259,2271
2,897,815,2,6758,1345.333333,4,4276,5033
1,932,726.2,1,7025,1345.333333,2,4319,2716
2,944,726.2,1,7114,1345.333333,5,4765,2716
1,1004,726.2,1,4031,1341.333333,7,5205,2775
1,1065,726.2,2,4883,1341.333333,6,5869,2775
3,1142,726.2,1,5263,1341.333333,4,6526,5567
1,1170,1408.666667,2,5459,855.2,2,7215,1881.666667
4,1223,1408.666667,2,5429,855.2,2,7847,1881.666667
3,1292,1408.666667,2,5411,855.2,2,8220,1881.666667
3,1479,1587,1,4843,855.2,1,8446,2824
4,1671,1587,4,4753,855.2,2,8980,2824
2,1875,1587,4,4897,873.4,1,9136,1438.5
2,2110,1690,3,5354,873.4,1,9012,1438.5
1,2194,1690,3,5913,873.4,1,8922,1438.5
1,2426,1690,4,6093,873.4,2,3042,1438.5
2,2751,2717,2,6349,873.4,1,1690,1153.4
1,2892,2717,2,6600,2279.5,1,1683,1153.4
1,3005,5657,1,6820,2279.5,1,1605,1153.4
2,3036,5969,2,7139,1164,1,1717,1153.4
1,3148,3191.5,2,7195,1164,1,1743,1153.4
1,3150,3191.5,2,7331,1164,2,1816,1475
1,3299,3378.5,1,6967,1164,2,1927,1475
2,3208,3378.5,1,6619,2380,1,2217,1475
1,3079,6822,2,5709,2380,3,2472,1475
1,3030,3444.5,4,5723,844.75,2,2722,1983
2,3074,3444.5,3,5761,844.75,2,3270,1983
2,3187,1390.6,3,5909,844.75,3,3394,1983
3,3251,1390.6,3,6170,844.75,2,3632,5938
4,3241,1390.6,3,6322,1750.5,3,3889,5736
4,3299,1390.6,2,6497,1750.5,3,4080,5866
5,3214,1390.6,2,6563,1202.666667,3,4315,5966
4,3185,2327,5,6701,1202.666667,2,4372,1468.25
2,3297,2327,6,6825,1202.666667,2,4507,1468.25
2,3306,2327,5,6948,3773,2,4498,1468.25
4,3443,2357.333333,2,7240,2031,2,4589,1468.25
1,3703,2357.333333,4,7530,2031,2,4762,5632
1,3998,2357.333333,3,7929,1401.333333,1,4835,2681
3,4248,1744.25,2,7923,1401.333333,1,5142,2681
4,4561,1744.25,2,7722,1401.333333,1,5441,1005.6
4,4780,1744.25,1,7446,1111.5,1,5625,1005.6
3,4882,1744.25,2,3360,1111.5,3,5928,1005.6
4,4911,2295,2,3457,1111.5,2,6229,1005.6
6,4923,2295,2,3641,1111.5,1,6469,1005.6
5,5002,2295,1,3743,1187.75,2,6590,4794
3,4974,1723.75,2,3972,1187.75,3,6612,2295
1,4981,1723.75,1,4422,1187.75,2,6486,2295
2,4943,1723.75,1,4741,1187.75,2,6248,1503
1,4853,1723.75,2,4838,2448,1,6058,1503
1,3839,2329,2,4717,2448,3,861,1503
1,3737,2329,4,4671,1292,2,944,1506
1,3581,2329,3,4524,1292,2,1111,1506
1,3588,2237.666667,1,4608,1292,3,1196,1506
1,3611,2237.666667,1,4630,1292,3,1327,762.1666667
3,3524,2237.666667,1,4577,2692.5,2,1522,762.1666667
5,3438,2190,2,2307,2692.5,3,1711,762.1666667
5,3410,2190,1,2443,5561,2,1873,762.1666667
7,3199,2190,2,2637,2780.5,2,1705,762.1666667
7,3130,2105.333333,2,2956,2780.5,2,1752,762.1666667
3,3031,2105.333333,2,3030,2828,1,1757,1121.25
2,3089,2105.333333,2,3302,2828,1,1769,1121.25
4,3256,5926,3,3551,6153,1,1708,1121.25
3,3550,5645,4,3837,3266.5,1,1762,1121.25
3,3961,5220,3,4144,3266.5,2,1891,1484.333333
4,4511,4112,3,4413,3379,1,2155,1484.333333
3,4767,3721,1,4553,3379,2,2597,1484.333333
1,5034,413,1,4444,7025,4,3195,4381
3,5431,627,1,4034,7114,6,3806,1452
3,5730,358.5,1,4108,4031,8,4577,1452
3,6080,358.5,1,5834,2441.5,6,5501,1452
1,6394,192.25,1,6035,2441.5,11,6340,4259
2,6338,192.25,1,6310,5263,9,7567,1069
2,6329,192.25,1,6287,2729.5,5,8807,1069
2,5964,192.25,1,6337,2729.5,7,9777,1069
2,5776,269.6666667,1,6601,2714.5,9,10707,1069
2,5761,269.6666667,1,6813,2714.5,9,11676,2159.5
1,5693,269.6666667,1,1598,2705.5,6,12458,2159.5
2,5544,448.5,2,1564,2705.5,2,12928,953
2,5483,448.5,2,1775,4843,3,13186,953
2,5202,932,2,2108,1188.25,1,13187,953
1,4922,472,2,2662,1188.25,2,12942,953
2,4626,472,5,3194,1188.25,2,12822,953
1,4351,1004,5,3557,1188.25,1,12551,743.5714286
1,4079,1065,1,4240,1224.25,1,3371,743.5714286
2,3878,380.6666667,2,4796,1224.25,1,3271,743.5714286
1,3770,380.6666667,1,5526,1224.25,2,3204,743.5714286
2,3551,380.6666667,3,6227,1224.25,2,3146,743.5714286
3,3428,1170,4,7120,1784.666667,4,3037,743.5714286
2,3238,305.75,2,7791,1784.666667,4,3007,743.5714286
2,3014,305.75,1,8290,1784.666667,2,3218,978.1666667
2,2712,305.75,2,8718,1971,3,3466,978.1666667
1,2513,305.75,1,9119,1971,3,3921,978.1666667
1,2523,430.6666667,3,9288,1971,4,4266,978.1666667
2,2470,430.6666667,1,9212,1523.25,5,4468,978.1666667
2,2469,430.6666667,2,4975,1523.25,3,4488,978.1666667
2,2442,493,3,5101,1523.25,2,4607,1631.5
2,2532,493,4,5568,1523.25,1,4865,1631.5
1,2769,493,7,6080,3174.5,1,4680,1631.5
1,3043,417.75,6,6605,3174.5,1,4102,1631.5
1,3238,417.75,7,7237,3300,2,4132,3607.5
1,3389,417.75,7,7651,3300,1,4194,3607.5
1,3547,417.75,1,7924,6820,5,4359,3923.5
1,3651,937.5,3,8497,3569.5,2,4579,3923.5
2,3740,937.5,1,8717,3569.5,6,5033,4110
3,2381,1055,1,9113,3597.5,2,5470,4110
3,2318,1055,1,2974,3597.5,3,5753,8446
1,2202,2194,1,3242,3665.5,4,6154,4490
3,2109,2426,1,3233,3665.5,4,6346,4490
3,2094,1375.5,2,3440,6967,5,6343,9136
1,2172,1375.5,2,3695,6619,2,6485,9012
1,2219,2892,3,3772,2854.5,4,6523,8922
2,2301,3005,2,3967,2854.5,2,6820,1521
2,2449,1518,4,4150,1430.75,3,6875,1521
4,2568,1518,5,4511,1430.75,2,6785,1690
1,2703,3148,6,4875,1430.75,1,4666,1683
4,2814,3150,3,5438,1430.75,1,626,1605
3,2977,3299,6,6043,1920.333333,1,295,1717
4,3183,1604,5,6264,1920.333333,2,682,1743
2,3340,1604,6,6570,1920.333333,2,877,908
4,3661,3079,3,6861,1969.666667,2,1185,908
3,3931,3030,4,7180,1969.666667,4,1589,963.5
6,4103,1537,2,7548,1969.666667,5,1895,963.5
2,4384,1537,3,8049,2056.666667,4,2242,2217
2,4541,1593.5,1,8562,2056.666667,6,2638,824
3,4860,1593.5,3,8256,2056.666667,4,3018,824
5,5136,1083.666667,2,8420,2107.333333,4,3433,824
5,5487,1083.666667,1,8812,2107.333333,5,3642,1361
3,5710,1083.666667,2,8979,2107.333333,3,3895,1361
3,5841,810.25,2,8812,3248.5,2,4226,1635
3,5720,810.25,3,8700,3248.5,1,4335,1635
4,5674,810.25,3,8499,3281.5,3,4234,1131.333333
4,5724,810.25,2,8620,3281.5,2,4029,1131.333333
6,5763,824.75,1,8578,1340.2,2,3912,1131.333333
2,5758,824.75,1,8462,1340.2,1,3823,1816
3,5468,824.75,2,8245,1340.2,1,3771,1816
2,5275,824.75,2,8147,1340.2,2,1433,1296.333333
2,5278,642.8,1,7889,1340.2,3,1699,1296.333333
1,5314,642.8,1,6689,1137.5,3,2027,1296.333333
1,4868,642.8,1,6468,1137.5,4,2268,1360
1,4267,642.8,3,6261,1137.5,3,2335,1360
1,3988,642.8,2,4366,1137.5,1,2486,1360
1,3819,796.25,2,4446,1137.5,2,2528,1438.333333
1,2990,796.25,1,4592,1137.5,1,2482,1438.333333
1,2141,796.25,1,4767,1389.6,1,2235,1438.333333
1,2080,796.25,3,4909,1389.6,1,2153,2186
1,2159,1648.5,2,5264,1389.6,1,1880,2186
3,2129,1648.5,3,5813,1389.6,2,1740,2253.5
4,2156,1653,2,6536,1389.6,1,1663,2253.5
3,2193,1653,3,7124,3620,1,1787,2249
3,2248,860.75,1,7643,3620,2,1888,2249
4,2405,860.75,1,7995,1882.5,5,2121,2294.5
3,2665,860.75,1,8411,1882.5,5,2634,2294.5
5,2922,860.75,2,8826,1882.5,4,2985,2381
10,3228,3703,1,8837,1882.5,5,3383,2381
5,3614,3998,2,8654,2643,3,3863,4835
5,3951,1416,1,8416,2643,2,4253,5142
4,4422,1416,1,8105,2643,1,4519,5441
2,4779,1416,1,8020,3961.5,1,5221,5625
3,5012,1140.25,3,6906,3961.5,1,5404,1976
1,5130,1140.25,5,7175,3861,1,5547,1976
2,5289,1140.25,2,7357,3861,1,5740,1976
3,5380,1140.25,2,7599,7446,1,5849,3114.5
2,5543,1195,7,8181,1680,1,5196,3114.5
4,5755,1195,4,8414,1680,1,5046,6469
5,5937,1195,1,8659,1728.5,1,4971,3295
3,6232,1195,2,8602,1728.5,1,4146,3295
4,6306,1627.333333,2,8342,1820.5,2,4097,2204
6,6428,1627.333333,1,8237,1820.5,4,3912,2204
4,6553,1627.333333,1,7936,3743,3,3939,2204
2,6634,1227.75,1,6719,1986,3,3976,3243
3,6617,1227.75,2,6255,1986,4,4203,3243
3,6679,1227.75,2,6234,4422,5,4287,3124
1,6608,1227.75,1,6219,4741,1,4562,3124
2,1370,820.5,1,6228,2419,3,4536,6058
1,1451,820.5,1,6187,2419,1,4437,287
3,1475,820.5,2,6057,2358.5,1,4396,287
2,1560,820.5,5,6182,2358.5,2,4162,287
3,1648,820.5,4,6220,1167.75,2,3961,472
3,1800,820.5,4,6725,1167.75,2,3721,472
4,1994,1000.4,5,7473,1167.75,2,3492,555.5
2,2331,1000.4,7,8305,1167.75,3,3583,555.5
4,2616,1000.4,10,8950,1508,3,3630,398.6666667
4,2802,1000.4,8,9462,1508,4,3823,398.6666667
6,3000,1000.4,7,9843,1508,6,4077,398.6666667
3,3154,1658,7,10223,4608,4,4182,442.3333333
1,3235,1658,6,10802,4630,4,4293,442.3333333
2,3197,1658,4,11117,4577,6,4349,442.3333333
1,3300,4981,7,11468,1153.5,2,4264,761
1,3492,2471.5,5,11362,1153.5,2,4323,761
4,3505,2471.5,1,3704,2443,2,4465,570.3333333
4,3182,4853,1,3609,1318.5,2,4925,570.3333333
1,3022,3839,1,3802,1318.5,1,4881,570.3333333
2,2966,3737,2,4350,1478,1,5044,936.5
2,2944,3581,2,4639,1478,1,3084,936.5
1,2890,3588,1,5080,1515,1,3100,852.5
1,2749,3611,1,5691,1515,1,3186,852.5
1,2613,1174.666667,4,6225,1651,1,3286,876
1,2458,1174.666667,5,6953,1651,2,3535,876
1,2252,1174.666667,3,7765,1183.666667,3,3769,1757
1,2055,687.6,6,8776,1183.666667,4,4715,1769
5,917,687.6,8,9905,1183.666667,3,5255,1708
5,1062,687.6,8,10533,959.25,2,5764,1762
8,1293,687.6,7,11436,959.25,4,6254,945.5
4,1587,687.6,8,12076,959.25,3,6607,945.5
8,2104,682,5,12295,959.25,4,6953,2155
8,2759,682,1,12504,1381.333333,3,7337,1298.5
11,3507,682,2,12395,1381.333333,1,7296,1298.5
11,4221,682,1,12190,1381.333333,1,7644,798.75
9,4998,682,1,12371,1471,1,7869,798.75
9,5797,457,1,4108,1471,1,5840,798.75
5,6695,457,1,4253,1471,1,5565,798.75
3,7518,457,2,4482,4553,1,5309,634.3333333
3,8255,457,3,4935,4444,1,4762,634.3333333
3,8772,457,3,5344,4034,2,4771,634.3333333
2,9257,457,2,5702,4108,3,4855,634.3333333
2,9910,457,1,5955,5834,4,4908,634.3333333
3,10322,447.1428571,3,6252,6035,4,5149,634.3333333
4,10732,447.1428571,5,6652,6310,5,5591,572.125
1,11051,447.1428571,4,6968,6287,4,5953,572.125
2,11237,447.1428571,2,7024,6337,2,6114,572.125
1,11206,447.1428571,4,7060,6601,3,6327,572.125
1,11200,447.1428571,5,7198,6813,2,6516,572.125
1,10710,447.1428571,6,7513,1598,1,6815,572.125
2,3216,1010.333333,3,7987,782,1,6976,572.125
1,3148,1010.333333,3,8172,782,1,6959,572.125
2,3213,1010.333333,2,8336,887.5,5,7417,916.8333333
3,3209,1544.5,1,8489,887.5,5,7802,916.8333333
6,3488,1544.5,1,8590,1054,3,8227,916.8333333
3,3663,814,1,8413,1054,2,8640,916.8333333
4,3915,814,1,8283,1331,3,8952,916.8333333
3,4198,814,1,8346,1331,1,8748,916.8333333
3,4435,814,1,8309,638.8,2,8810,576.3636364
3,4756,1183.333333,1,6930,638.8,3,8737,576.3636364
3,4988,1183.333333,2,7075,638.8,1,8794,576.3636364
3,5090,1183.333333,2,7540,638.8,1,8852,576.3636364
3,5413,1320.333333,2,7860,638.8,2,8712,576.3636364
1,5438,1320.333333,2,8469,711.4,1,3441,576.3636364
4,5506,1320.333333,1,8842,711.4,2,3908,576.3636364
2,5465,1127.75,4,8982,711.4,2,4374,576.3636364
2,5351,1127.75,2,9409,711.4,4,4587,576.3636364
1,5278,1127.75,1,9714,711.4,2,4888,576.3636364
1,5104,1127.75,1,3207,4240,2,4998,576.3636364
1,4754,1589,1,3021,2398,3,5316,840.7777778
1,1177,1589,1,2943,2398,3,5550,840.7777778
1,1098,1589,4,3104,5526,1,4951,840.7777778
1,1131,5034,5,3440,2075.666667,1,5671,840.7777778
1,1196,1810.333333,3,3701,2075.666667,5,6161,840.7777778
3,1291,1810.333333,6,4127,2075.666667,2,6754,840.7777778
3,1398,1810.333333,4,4747,1780,3,7343,840.7777778
1,1450,1910,4,5744,1780,3,7718,840.7777778
2,1557,1910,3,6677,1780,4,7991,840.7777778
2,1660,1910,2,7557,1780,5,8124,1761.4
2,1770,2026.666667,1,8550,3895.5,2,8275,1761.4
2,1765,2026.666667,2,9222,3895.5,3,8234,1761.4
1,1870,2026.666667,3,9878,8290,3,8311,1761.4
1,1937,6394,2,10366,4359,1,8164,1761.4
1,1946,3169,1,10556,4359,1,8104,1396.714286
3,1878,3169,1,10318,9119,1,3044,1396.714286
3,1759,3164.5,1,3245,3096,1,2727,1396.714286
5,1708,3164.5,1,3022,3096,1,1925,1396.714286
5,1709,2982,1,2888,3096,3,1973,1396.714286
7,1856,2982,1,2878,9212,3,1910,1396.714286
4,2076,2888,3,3038,2487.5,1,1818,1396.714286
4,2319,2888,1,3156,2487.5,2,1820,1189.666667
4,2520,2880.5,2,3148,1700.333333,3,1713,1189.666667
4,2758,2880.5,1,2954,1700.333333,3,1759,1189.666667
6,2891,5693,3,3061,1700.333333,1,1842,1189.666667
2,3141,2772,1,3215,1392,2,1991,1189.666667
1,3414,2772,2,3324,1392,2,2197,1189.666667
4,3625,2741.5,2,3551,1392,5,2410,1189.666667
3,3821,2741.5,2,3683,1392,4,2722,1189.666667
2,4041,2601,2,3693,868.5714286,1,3024,1189.666667
3,4354,2601,3,3745,868.5714286,2,3223,1297.333333
4,4786,4922,4,3777,868.5714286,1,4235,1297.333333
2,5164,2313,2,4106,868.5714286,2,5047,1297.333333
3,5568,2313,2,4559,868.5714286,2,5299,1297.333333
3,5948,4351,5,4989,868.5714286,2,5316,1297.333333
3,6251,4079,6,5608,868.5714286,4,5492,1297.333333
1,6670,1939,7,6091,1100.833333,1,5525,1297.333333
