model,drive conversion,low density growth rate,growth curve,suppressed,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females
overlapping-generations fecundity,1,3.5,concave,1,0.95,0.05,0,0,0,0.05,0,27,67.1,1087.166667
overlapping-generations fecundity,1,4,concave,1,1,0,0,0,0,0,0,nan,65.25,nan
overlapping-generations fecundity,1,5,concave,1,1,0,0,0,0,0,0,nan,66.25,nan
overlapping-generations fecundity,0.99,3.5,concave,1,0.95,0.05,0,0,0,0.05,0,49,69.1,2590.873418
overlapping-generations fecundity,0.97,3.5,concave,0.95,0.9,0.05,0,0,0.05,0.05,0,28,114.15,5226.592507
overlapping-generations fecundity,1,4.5,concave,1,1,0,0,0,0,0,0,nan,66.3,nan
overlapping-generations fecundity,0.96,3.5,concave,1,0.95,0.05,0,0,0,0.05,0,27,69.65,2892.781818
overlapping-generations fecundity,0.99,4.5,concave,1,1,0,0,0,0,0,0,nan,68.3,nan
overlapping-generations fecundity,1,7,concave,1,1,0,0,0,0,0,0,nan,67.55,nan
overlapping-generations fecundity,0.95,3.5,concave,0.95,0.85,0.1,0,0,0.05,0.05,0.05,40.33333333,121.35,2622.899966
overlapping-generations fecundity,0.99,5,concave,1,0.9,0.1,0,0,0,0.05,0.05,48.5,70.95,2195.026901
overlapping-generations fecundity,0.98,3,concave,1,1,0,0,0,0,0,0,nan,66.8,nan
overlapping-generations fecundity,0.99,4,concave,1,1,0,0,0,0,0,0,nan,66.85,nan
overlapping-generations fecundity,0.98,3.5,concave,1,0.95,0.05,0,0,0,0.05,0,42,71,2642.919355
overlapping-generations fecundity,1,3,concave,1,0.95,0.05,0,0,0,0.05,0,15,67.2,3975.465116
overlapping-generations fecundity,0.98,4,concave,1,1,0,0,0,0,0,0,nan,67.95,nan
overlapping-generations fecundity,1,7.5,concave,1,1,0,0,0,0,0,0,nan,67.55,nan
overlapping-generations fecundity,1,8.5,concave,1,0.95,0.05,0,0,0,0.05,0,44,69.1,3277.878378
overlapping-generations fecundity,0.98,5,concave,1,1,0,0,0,0,0,0,nan,68.5,nan
overlapping-generations fecundity,0.97,5.5,concave,1,0.9,0.1,0,0,0,0.05,0.05,51.5,73.3,2712.591845
overlapping-generations fecundity,0.97,4.5,concave,1,0.95,0.05,0,0,0,0,0.05,51,72.65,2338.012195
overlapping-generations fecundity,0.95,4,concave,1,0.95,0.05,0,0,0,0.05,0,45,71.6,3709.449275
overlapping-generations fecundity,0.97,3,concave,1,0.95,0.05,0,0,0,0.05,0,30,69.65,1574.387097
overlapping-generations fecundity,0.99,7.5,concave,1,1,0,0,0,0,0,0,nan,68.45,nan
overlapping-generations fecundity,0.96,3,concave,1,0.95,0.05,0,0,0,0.05,0,48,70.3,2628.766234
overlapping-generations fecundity,0.99,3,concave,1,1,0,0,0,0,0,0,nan,65.8,nan
overlapping-generations fecundity,0.98,4.5,concave,1,0.9,0.1,0,0,0,0.1,0,20,70.2,4406.222813
overlapping-generations fecundity,0.99,8,concave,1,0.85,0.15,0,0,0,0.15,0,34,72.1,3006.829103
overlapping-generations fecundity,0.94,4,concave,1,0.95,0.05,0,0,0,0,0.05,77,73.95,2557.201923
overlapping-generations fecundity,0.97,5,concave,1,0.9,0.1,0,0,0,0.05,0.05,40.5,71.65,3363.337372
overlapping-generations fecundity,0.96,5,concave,1,0.95,0.05,0,0,0,0.05,0,25,70.3,4778.563636
overlapping-generations fecundity,0.98,7.5,concave,1,0.9,0.1,0,0,0,0.1,0,17,69.45,2762.617799
overlapping-generations fecundity,0.99,8.5,concave,1,1,0,0,0,0,0,0,nan,68.7,nan
overlapping-generations fecundity,0.94,4.5,concave,1,0.8,0.2,0,0,0,0.15,0.05,40.75,78.15,2635.071428
overlapping-generations fecundity,1,8,concave,1,0.95,0.05,0,0,0,0,0.05,66,69.55,4082.305263
overlapping-generations fecundity,0.98,8.5,concave,1,0.8,0.2,0,0,0,0.15,0.05,40.5,76.35,2471.074751
overlapping-generations fecundity,0.95,3,concave,1,0.9,0.1,0,0,0,0.05,0.05,39.5,71.9,2016.174453
overlapping-generations fecundity,0.99,7,concave,1,0.8,0.2,0,0,0,0.15,0.05,46.25,75.3,2804.305241
overlapping-generations fecundity,0.98,8,concave,1,0.9,0.1,0,0,0,0.1,0,30.5,70.65,4727.292435
overlapping-generations fecundity,0.93,4,concave,1,0.8,0.2,0,0,0,0.15,0.05,42.25,80.6,2504.545168
overlapping-generations fecundity,0.96,4.5,concave,1,0.95,0.05,0,0,0,0,0.05,91,76.3,2063.967213
overlapping-generations fecundity,0.94,3.5,concave,1,0.8,0.2,0,0,0,0.1,0.1,50.5,78.1,3417.879603
overlapping-generations fecundity,0.97,4,concave,1,1,0,0,0,0,0,0,nan,72.8,nan
overlapping-generations fecundity,0.98,7,concave,1,0.95,0.05,0,0,0,0,0.05,52,71.85,2503.559524
overlapping-generations fecundity,0.93,3.5,concave,1,0.95,0.05,0,0,0,0.05,0,20,72.4,4856.596154
overlapping-generations fecundity,0.93,4.5,concave,1,0.8,0.2,0,0,0,0.1,0.1,56.75,82.45,2294.025595
overlapping-generations fecundity,0.97,8.5,concave,1,0.7,0.3,0,0,0,0.2,0.1,45.16666667,81.2,2964.945786
overlapping-generations fecundity,0.95,5.5,concave,1,0.8,0.2,0,0,0,0.1,0.1,58.5,82.2,1807.538189
overlapping-generations fecundity,0.92,3.5,concave,0.9,0.85,0.05,0,0,0.1,0,0.05,67.66666667,170.35,2179.525981
overlapping-generations fecundity,0.96,5.5,concave,1,0.9,0.1,0,0,0,0.05,0.05,77.5,77.55,1500.790823
overlapping-generations fecundity,0.95,5,concave,1,0.95,0.05,0,0,0,0.05,0,30,72.9,3158.612903
overlapping-generations fecundity,0.97,7,concave,1,0.8,0.2,0,0,0,0.15,0.05,65.5,80,2197.410564
