drive_conversion,somatic_fitness,suppressed,genetic_load
0.71,1,1,0.83315
0.7,0.96,0,0.7787
0.71,0.98,0,0.7972
0.7,0.92,0,0.7742
0.7,0.94,0,0.776233
0.7,0.9,0,0.762542
0.71,0.94,0,0.772833
0.71,0.9,0,0.792592
0.71,0.96,0,0.79955
0.71,0.86,1,0.833242
0.7,1,0,0.7703
0.7,0.98,0,0.775158
0.71,0.92,0,0.8034
0.71,0.88,0,0.772492
0.71,0.84,0,0.767008
0.7,0.88,0,0.7891
0.71,0.82,0,0.762475
0.7,0.86,0,0.751733
0.7,0.84,0,0.78
0.71,1,1,0.833133
0.72,0.74,0,0.744858
0.7,0.82,0,0.751783
0.71,0.8,0,0.741133
0.72,0.72,0,0.744175
0.7,0.8,0,0.764767
0.71,0.98,1,0.833258
0.71,0.78,0,0.759167
0.7,0.76,0,0.738275
0.71,0.9,1,0.83265
0.7,0.78,0,0.738892
0.7,0.94,0,0.8052
0.7,0.96,0,0.808025
0.72,0.92,0,0.7995
0.7,0.92,0,0.772258
0.71,0.76,0,0.778442
0.72,0.88,0,0.796658
0.72,0.7,0,0.729375
0.7,0.9,0,0.783008
0.71,0.74,0,0.726692
0.72,0.9,0,0.773567
0.71,0.94,0,0.818317
0.72,0.68,0,0.718258
0.71,0.7,0,0.723817
0.71,0.72,0,0.699608
0.71,0.96,0,0.803117
0.72,0.86,0,0.787142
0.72,0.66,0,0.682567
0.7,0.74,0,0.728533
0.72,0.8,0,0.813592
0.72,0.82,0,0.79835
0.7,0.64,0,0.641658
0.7,1,0,0.787908
0.72,0.84,0,0.788825
0.7,0.72,0,0.7565
0.71,0.86,0,0.78625
0.71,0.92,0,0.787642
0.71,0.66,0,0.689
0.7,0.98,0,0.821908
0.7,0.7,0,0.698083
0.71,0.68,0,0.710317
0.7,0.68,0,0.721325
0.71,0.88,0,0.788767
0.72,0.64,0,0.713842
0.72,0.78,0,0.758042
0.71,1,0,0.795908
0.71,0.64,0,0.688433
0.7,0.66,0,0.66985
0.71,0.84,0,0.750483
0.7,0.94,0,0.788083
0.72,0.62,0,0.651125
0.71,0.98,0,0.804417
0.71,0.94,1,0.83315
0.72,0.6,0,0.66755
0.7,0.88,0,0.802317
0.7,0.96,0,0.789833
0.72,0.76,0,0.768892
0.7,0.92,0,0.788267
0.7,0.9,0,0.784425
0.71,0.82,0,0.76035
0.7,0.86,0,0.790167
0.7,0.62,0,0.639325
0.71,0.9,0,0.806342
0.71,0.62,0,0.653567
0.7,0.84,0,0.763492
0.71,0.6,0,0.654658
0.7,0.82,0,0.7427
0.72,0.74,0,0.764317
0.72,0.92,1,0.833242
0.71,0.8,0,0.788858
0.71,0.96,0,0.784058
0.7,0.8,0,0.76625
0.72,0.72,0,0.734133
0.7,1,0,0.80165
0.72,0.96,1,0.833217
0.72,0.98,1,0.833242
0.71,0.92,0,0.796158
0.7,0.98,0,0.820983
0.71,0.78,0,0.751642
0.7,0.6,0,0.652608
0.72,1,1,0.833125
0.7,0.76,0,0.710575
0.7,0.78,0,0.745725
0.71,0.88,1,0.832933
0.71,0.86,0,0.791117
0.72,0.7,0,0.734317
0.71,0.76,0,0.765067
0.72,0.9,0,0.801567
0.72,0.94,0,0.779517
0.72,1,1,0.832808
0.71,0.84,0,0.799117
0.71,0.74,0,0.729258
0.72,0.88,0,0.82335
0.7,0.88,0,0.769583
0.72,0.98,1,0.833217
0.72,0.68,0,0.745917
0.7,0.74,0,0.724208
0.72,0.82,0,0.799067
0.71,0.72,0,0.724083
0.72,0.86,0,0.80145
0.7,0.86,0,0.767358
0.71,0.82,0,0.786275
0.71,0.7,0,0.731158
0.72,0.96,1,0.833267
0.72,0.84,0,0.778892
