df_cluster,df_popsize,df_popsize_per_cluster,dv_cluster,dv_popsize,dv_popsize_per_cluster,of_cluser,of_popsize,of_popsize_per_cluster,ov_cluster,ov_popsize,ov_popsize_per_cluster
1,26,26,1,617,617,1,1175,1175,1,1853,1853
1,48,48,1,590,590,1,1038,1038,3,2060,686.6666667
1,193,193,1,978,978,1,999,999,2,2211,686.6666667
1,602,602,1,1236,1236,1,1021,1021,2,2537,686.6666667
1,1455,1455,2,1699,849.5,2,1065,532.5,2,2881,1105.5
1,2920,2920,2,2048,849.5,1,1092,532.5,3,3385,1105.5
1,4330,4330,2,2497,1024,2,1140,1092,1,3823,1268.5
1,6054,6054,1,3068,1024,2,1152,570,2,4186,1268.5
1,7905,7905,1,3635,1248.5,1,1121,570,2,4471,1440.5
1,9051,9051,1,3788,1248.5,2,1123,576,2,4768,1440.5
1,10975,10975,1,4370,3068,2,1048,576,1,4942,1128.333333
1,12595,12595,1,4385,3635,1,987,1121,2,5045,1128.333333
1,1185,1185,1,4627,3788,1,929,561.5,2,5073,1128.333333
1,1190,1190,1,4807,4370,2,879,561.5,2,5130,3823
1,1238,1238,1,4949,4385,1,822,524,1,5093,2093
1,1176,1176,1,4849,4627,1,775,524,1,1413,2093
1,902,902,1,3071,4807,1,756,987,1,1567,2235.5
1,955,955,2,2453,4949,1,731,929,2,1661,2235.5
1,937,937,1,2478,4849,1,723,439.5,2,1820,2384
2,1281,640.5,1,3131,3071,1,747,439.5,2,1976,2384
2,2063,640.5,1,3057,1226.5,1,794,822,1,2062,4942
3,2820,1031.5,1,3509,1226.5,1,840,775,2,2122,2522.5
3,4246,1031.5,1,4085,2478,1,871,756,2,2139,2522.5
3,5395,940,2,4905,3131,1,998,731,2,2247,2536.5
3,7210,940,1,5640,3057,1,1036,723,2,2339,2536.5
3,7871,940,2,6979,3509,1,1161,747,2,2388,2565
1,8713,1415.333333,2,7544,4085,2,1387,794,2,2352,2565
2,9547,1415.333333,2,7935,2452.5,1,1599,840,2,2368,5093
2,9388,1415.333333,1,7734,2452.5,2,1799,871,2,2354,1413
2,9346,1798.333333,1,7377,5640,2,1976,998,2,2356,1567
2,9214,1798.333333,1,6966,3489.5,2,2153,1036,2,2460,830.5
1,8267,1798.333333,1,4969,3489.5,2,2304,1161,3,2600,830.5
1,4548,2403.333333,1,4329,3772,3,2305,693.5,2,2665,910
1,3805,2403.333333,1,123,3772,3,2354,693.5,2,2825,910
1,3208,2403.333333,1,298,3967.5,2,2379,1599,2,2948,988
1,1339,2623.666667,1,249,3967.5,2,2430,899.5,2,3122,988
1,1441,2623.666667,1,366,7734,1,2406,899.5,2,3354,2062
2,1954,2623.666667,1,331,7377,2,2352,988,2,3482,1061
1,2625,8713,1,256,6966,1,2189,988,2,3634,1061
2,3303,4773.5,1,305,4969,2,2094,1076.5,2,3800,1069.5
4,3601,4773.5,1,202,4329,1,1945,1076.5,2,3987,1069.5
5,4424,4694,1,281,123,1,1701,1152,1,4137,1123.5
3,4997,4694,2,485,298,1,1695,1152,2,4303,1123.5
1,5530,4673,2,983,249,1,1710,768.3333333,1,4602,1169.5
1,5914,4673,2,1658,366,1,1821,768.3333333,1,4989,1169.5
1,6607,4607,1,2656,331,1,1891,768.3333333,1,5148,1194
2,6959,4607,1,3724,256,1,1969,784.6666667,1,5398,1194
2,7223,8267,1,4924,305,1,2022,784.6666667,1,5574,1176
2,6820,4548,1,6065,202,1,2189,784.6666667,1,5801,1176
1,6720,3805,1,7521,281,2,2252,1189.5,1,6037,1184
1,7151,3208,1,8547,242.5,2,2248,1189.5,1,6189,1184
2,6714,1339,1,9152,242.5,1,2337,1215,2,6247,1177
1,6251,1441,1,10048,491.5,2,2388,1215,2,6443,1177
1,5703,977,1,11015,491.5,2,2572,2406,1,6493,1178
1,4458,977,1,12314,829,2,2689,1176,1,6609,1178
1,1228,2625,1,13176,829,1,2805,1176,1,6509,1230
2,1585,1651.5,1,13887,2656,1,2765,2189,1,6409,1230
