time_step,generation_time,drive_frequency
1,2.0211,0.0355539
2,1.96103,0.0261698
3,2.04496,0.0171147
4,2.04497,0.00801217
5,1.99538,0.0108284
6,2.00766,0.0133543
7,2.03121,0.0154463
8,1.99486,0.0176283
9,2.0183,0.0189553
10,2.00719,0.0218078
11,1.99489,0.0258091
12,2.00112,0.0277694
13,2.01902,0.0327322
14,1.98684,0.0376829
15,2.01039,0.041135
16,1.98492,0.045924
17,2.02369,0.0498826
18,2.05296,0.0535178
19,2.01394,0.057336
20,1.98995,0.063231
21,2.02527,0.0658469
22,2.04738,0.0755862
23,2.02176,0.0874151
24,2.00745,0.0946526
25,2.02759,0.103242
26,2.0615,0.116233
27,2.02438,0.124062
28,2.00333,0.137634
29,2.02167,0.152117
30,2.03253,0.166062
31,2.03185,0.175647
32,2.01047,0.19267
33,1.96572,0.200654
34,2.0057,0.212687
35,2.0597,0.228721
36,2.01226,0.236431
37,2.00952,0.255138
38,2.03612,0.277211
39,2.05273,0.296143
40,2.04371,0.315095
41,2.07175,0.334849
42,2.04102,0.348769
43,2.05843,0.369127
44,2.08645,0.386052
45,2.07134,0.407991
46,2.06879,0.431905
47,2.11436,0.448019
48,2.11367,0.471417
49,2.13202,0.495007
50,2.15075,0.506545
51,2.10067,0.521825
52,2.05991,0.54178
53,2.10247,0.561619
54,2.12885,0.580999
55,2.07438,0.596748
56,2.13674,0.613758
57,2.10618,0.6241
58,2.16093,0.643988
59,2.19781,0.657269
60,2.21314,0.657458
61,2.17612,0.667549
62,2.21841,0.663593
63,2.22523,0.670486
64,2.23913,0.671123
65,2.14143,0.662932
66,2.16554,0.651419
67,2.13211,0.642075
68,2.06926,0.630935
69,1.95299,0.626414
70,1.91282,0.634775
71,2.10904,0.627
72,2.00587,0.612608
73,1.96552,0.597063
74,2.1828,0.571229
75,1.99603,0.577099
76,2.09607,0.573438
77,2.09843,0.561489
78,2.09187,0.587963
79,2.00722,0.580645
80,1.89032,0.531421
81,1.79765,0.483892
82,2.026,0.449219
83,1.77273,0.427492
84,1.79341,0.4122
85,1.79368,0.40834
86,2.06139,0.438857
87,1.97398,0.471525
88,2.03314,0.507099
89,1.97364,0.554221
