model,low density growth rate,growth curve,suppressed,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females
discrete-generation fecundity,1.5,concave,1,1,0,0,0,0,0,0,nan,28.7,nan
discrete-generation fecundity,2,concave,0.85,0.7,0.15,0,0,0.15,0.15,0,44.80056,178.4,969.7645643
discrete-generation fecundity,2.5,concave,0.7,0.6,0.1,0,0,0.3,0.1,0,60.3340875,324,2390.19511
discrete-generation fecundity,3.5,concave,0.95,0.45,0.5,0,0,0.05,0.25,0.25,186.1841455,114.45,2897.90956
discrete-generation fecundity,3,concave,0.9,0.4,0.5,0,0,0.1,0.3,0.2,213.78045,164.25,2921.847587
discrete-generation fecundity,4,concave,0.8,0.15,0.65,0.1,0,0.1,0.15,0.5,408.6325588,288.6,2233.238899
discrete-generation fecundity,4.5,concave,0.7,0.1,0.6,0.15,0,0.15,0.05,0.55,491.2654,412.1,2048.174411
discrete-generation fecundity,5,concave,0.45,0.05,0.4,0.55,0,0,0,0.4,779.7992211,652.05,2006.055778
discrete-generation fecundity,5.5,concave,0.35,0,0.35,0.6,0,0.05,0.1,0.25,678.275145,694.85,2028.805163
discrete-generation fecundity,6,concave,0.25,0,0.25,0.75,0,0,0.1,0.15,749.60937,781.55,2001.965574
discrete-generation fecundity,6.5,concave,0.15,0,0.15,0.8,0,0.05,0,0.15,858.41073,887.15,1863.672144
discrete-generation fecundity,7,concave,0.05,0,0.05,0.95,0,0,0,0.05,895.611195,963,1784.13252
discrete-generation fecundity,7.5,concave,0,0,0,1,0,0,0,0,912.944745,nan,1817.686411
discrete-generation fecundity,8,concave,0,0,0,1,0,0,0,0,914.14476,nan,1772.919871
discrete-generation fecundity,8.5,concave,0,0,0,1,0,0,0,0,914.811435,nan,1750.43927
discrete-generation fecundity,9,concave,0.05,0.05,0,0.95,0,0,0,0,913.1342211,952.7,1725.886274
discrete-generation fecundity,9.5,concave,0,0,0,1,0,0,0,0,912.678075,nan,1802.159333
discrete-generation fecundity,10,concave,0,0,0,1,0,0,0,0,915.344775,nan,1768.367435
discrete-generation viability,1.5,concave,1,0.95,0.05,0,0,0,0.05,0,29.3337,28.7,1007.684211
discrete-generation viability,5,concave,0.3,0.05,0.25,0.7,0,0,0,0.25,827.3787632,762.55,2141.031319
discrete-generation viability,2,concave,1,0.8,0.2,0,0,0,0.2,0,56.0007,33.6,790.9237527
discrete-generation viability,2.5,concave,0.7,0.5,0.2,0,0,0.3,0.15,0.05,72.53424,329.65,1745.216675
discrete-generation viability,3.5,concave,0.85,0.35,0.5,0,0,0.15,0.3,0.2,112.8219231,200.15,2240.484408
discrete-generation viability,3,concave,0.75,0.4,0.35,0,0,0.25,0.2,0.15,96.667875,288.5,3328.031485
discrete-generation viability,4,concave,0.75,0.15,0.6,0.05,0,0.2,0.2,0.4,200.4730941,309.6,2820.957869
discrete-generation viability,4.5,concave,0.55,0.05,0.5,0.35,0,0.1,0.1,0.4,559.5859421,532.35,2208.732695
discrete-generation viability,5.5,concave,0.15,0,0.15,0.8,0,0.05,0.1,0.05,789.3432,872.25,1918.421468
discrete-generation viability,6,concave,0.1,0.05,0.05,0.9,0,0,0,0.05,912.4324579,919.65,1888.991635
discrete-generation viability,6.5,concave,0,0,0,0.95,0,0.05,0,0,883.344375,nan,1977.654971
discrete-generation viability,7,concave,0,0,0,1,0,0,0,0,918.41148,nan,1911.96802
discrete-generation viability,10,concave,0,0,0,1,0,0,0,0,919.47816,nan,2117.023773
discrete-generation viability,7.5,concave,0,0,0,1,0,0,0,0,918.14481,nan,1894.778863
discrete-generation viability,9.5,concave,0,0,0,1,0,0,0,0,919.878165,nan,2045.60616
discrete-generation viability,8,concave,0,0,0,1,0,0,0,0,919.47816,nan,1956.719748
discrete-generation viability,8.5,concave,0,0,0,1,0,0,0,0,918.278145,nan,1958.976327
discrete-generation viability,9,concave,0,0,0,1,0,0,0,0,919.21149,nan,2033.61781
