drive conversion,somatic fitness,germline resistance,embryo resistance,eliminated,genetic load,efficiency decline coefficient,zero frequency relative increase rate,maximum drive frequency,linear regression loss,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females,suppressed rate,chasing rate
0.55,0.55,0,0.1,0,0.506499675,0.40207584,0.189380859,0.471007805,0.003361905,0,0,1,0,0,0,0,326,,10093.70495,0,1
0.55,0.5,0,0.1,0,0.398423125,0.497973468,0.172774681,0.346955596,0.005165612,0,0,0.6,0,0.4,0,0,317.5,,12828.13556,0,0.6
0.55,0.6,0,0.1,0,0.551162675,0.414492915,0.219942788,0.530630994,0.002946508,0,0,1,0,0,0,0,332.4,,8123.035953,0,1
0.55,0.5,0,0.2,0,0.286115725,0.659871124,0.153602082,0.23277588,0.005028638,0,0,0,0,1,0,0,,,,0,0
0.55,0.5,0,0.3,0,0.2378979,1.154700421,0.162083386,0.140368344,0.004670816,0,0,0,0,1,0,0,,,,0,0
0.55,0.5,0,0.5,0,0.147863913,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.5,0,0.4,0,0.195110888,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.65,0,0.7,0,0.1905655,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.6,0,0.7,0,0.143369862,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.55,0,0.4,0,0.236080162,1.340710984,0.180695352,0.134775767,0.005237911,0,0,0,0,1,0,0,,,,0,0
0.55,0.6,0,0.2,0,0.423361325,0.577688475,0.212563891,0.367955915,0.003810645,0,0,0.85,0,0.15,0,0,327.1764706,,11020.20901,0,0.85
0.55,0.6,0,0.6,0,0.200656075,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.55,0,0.2,0,0.352125438,0.596501674,0.181248598,0.303852623,0.00409481,0,0,0,0,1,0,0,,,,0,0
0.55,0.55,0,0.3,0,0.269024575,0.789274121,0.164057632,0.207858876,0.004560373,0,0,0,0,1,0,0,,,,0,0
0.55,0.55,0,0.6,0,0.156741737,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.7,0,0.7,0,0.220797137,1.431161888,0.181615615,0.126900818,0.003795334,0,0,0,0,1,0,0,,,,0,0
0.55,0.55,0,0.5,0,0.191805237,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.65,0,0.6,0,0.2146144,1.379333253,0.177168766,0.128445222,0.003173781,0,0,0,0,1,0,0,,,,0,0
0.55,0.65,0,0.2,0,0.50599115,0.509522605,0.224925012,0.441442657,0.002587186,0,0,1,0,0,0,0,333.7,,9169.023057,0,1
0.55,0.55,0,0.7,0,0.117144495,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.6,0,0.5,0,0.22127585,1.3613562,0.181636499,0.133423199,0.004455647,0,0,0,0,1,0,0,,,,0,0
0.5,0.5,0,0,0,0.572249125,0.19750743,0.126394186,0.639946488,0.004222237,0,0,1,0,0,0,0,315.25,,8022.035368,0,1
